רכיב,האם כבר נבנה?
כפתורים רנדומלי/סדר לכל נושא,True
כפתור SOD מפוצץ עם רקע משתנה,True
מערכת שפות (עברית/אנגלית/רוסית),True
כפתור 'מה אני לומד' עם תת־אפשרויות,True
כפתור עם תתי כפתורים (עץ נפתח),True
"לו""ז יומי של יום רביעי",True
"עיצוב glow/modular (צבאי, כהה)",True
כפתור 'מה לשתות' עם פעולה,True
כפתור 'מה ללבוש' לפי תחזית,False
כפתור 'מצב רוח' עם סמיילי ו־GIF,False
כפתור 'עייפות' עם בר אחוזים,False
כפתור 'משימה יומית' עם קריינות,False
כפתור 'תחנת אוטובוס' עם מידע חי,False
כפתור 'רכבת הזמן' לשנה עתידית,False
שיבוץ צבאי הומוריסטי,False
כפתור 'למה אני עושה את זה',True
SOD שזז כמו רכבת בתוך המסך,False
כפתור מציג 'מה המצב עכשיו',False
נחש זמן סמסטר/שיעור,False
בר מצב רגש/עייפות עם ניתוח יומי,False
סאונדים/קליקים לכל כפתור,False
שורת מצב עליונה (זמן/טיפ יומי),False
דוח התקדמות יומי עם כוכבים,False
